#{"t_start": 1780852170.4811265, "env_id": "highway-fast-v0"}
r,l,t
15.417208,21,140.347197
7.786842,11,140.816467
21.902322,30,142.07591
3.686444,5,142.301173
23.485106,30,143.549215
13.632438,18,144.305674
5.568706,8,144.649371
5.648764,7,144.955351
2.917693,4,145.129553
5.548563,8,145.47538
3.819779,5,145.696532
5.016314,7,145.995863
15.579366,21,146.885134
2.313158,3,147.016292
22.909372,30,148.263871
7.651591,11,148.725174
12.311944,17,149.438612
3.766322,5,149.655442
20.876711,27,150.77642
5.249748,7,151.082026
1.279667,2,151.178685
6.901763,11,151.641726
11.630717,15,152.265697
22.781205,30,153.509522
10.218931,15,154.150969
2.832397,4,154.326492
12.501467,18,155.07553
4.0,6,155.335548
22.467536,30,156.584409
11.152237,16,157.273609
5.986492,8,157.630172
19.77732,25,158.694629
7.484007,10,159.126647
2.879354,4,159.307499
5.314573,7,159.621555
13.150282,19,160.444713
3.612536,5,160.664336
12.578305,15,161.3115
7.115146,9,161.704827
6.829741,8,162.048664
13.444842,19,162.866439
6.219592,9,163.269132
8.51257,12,163.775951
3.233333,5,163.995557
9.163532,11,164.468222
13.766323,16,165.145223
5.668661,8,165.495115
8.6821,12,166.00916
13.600305,19,166.808503
8.577382,11,167.284749
7.398537,10,167.714867
16.893072,20,168.564371
4.479045,6,168.825523
2.533678,4,168.995099
23.934392,30,170.243735
4.866713,7,170.545706
24.562795,30,171.800768
6.198873,9,172.178674
4.612658,6,172.444591
1.699378,3,172.57935
5.934798,9,172.957592
3.613158,5,173.179077
3.232131,5,173.395201
7.548446,10,173.824711
18.581147,22,174.756532
3.401689,5,174.978617
2.879825,4,175.156295
2.184529,4,175.339909
8.033644,11,175.806917
8.282383,11,176.273724
10.811816,13,176.826042
4.619779,6,177.085621
4.132711,6,177.346169
7.779784,9,177.735547
25.086883,30,178.984353
21.684476,30,181.613868
10.435996,15,182.263741
3.885948,6,182.527426
6.486575,10,182.955408
5.545352,7,183.269837
1.880129,3,183.408708
13.553511,21,184.321607
2.252314,4,184.501647
20.165114,25,185.582208
3.778741,5,185.8086
6.986888,11,186.318811
13.352902,19,187.168994
13.785898,19,187.991461
23.332445,30,189.284498
11.119598,16,189.97598
22.511413,30,191.247312
21.984498,30,192.515883
7.18091,10,192.945937
9.119878,13,193.509927
24.283869,30,194.765524
5.266667,7,195.065681
11.015257,13,195.631888
12.697565,17,196.385698
2.697383,4,196.565712
7.500351,11,197.023927
17.111651,24,198.023968
1.666044,3,198.157109
16.202269,24,199.193671
14.352487,20,200.075889
1.632045,3,200.220325
6.799376,9,200.625197
9.120221,14,201.256856
23.18653,30,202.52514
11.431572,16,203.207783
3.018361,5,203.431085
8.48533,13,203.984405
23.03027,30,205.260161
13.67806,17,205.987174
2.633333,4,206.168633
8.384682,12,206.683694
14.833636,22,207.616135
9.445054,11,208.086256
22.385335,30,209.357861
16.535368,24,210.431997
15.250436,21,211.322553
12.868435,18,212.090176
6.884036,8,212.437179
20.533684,28,213.606906
6.39965,8,213.94576
2.934167,4,214.125551
16.813195,24,215.125501
8.745511,10,215.554622
2.851712,4,215.726096
21.718396,30,217.00842
5.482448,8,217.355311
21.818371,30,218.605597
22.785029,30,219.895613
3.699753,5,220.115487
7.466044,10,220.54473
4.84598,6,220.804637
7.366018,11,221.273522
7.43533,11,221.73955
15.476653,20,222.585741
8.467509,12,223.101534
7.981855,12,223.608668
20.919871,28,224.796681
4.019274,6,225.061563
20.999968,30,226.323408
8.566554,11,226.800891
4.999457,8,227.146082
6.419165,8,227.491445
17.784092,25,228.519626
4.548759,6,228.782095
23.366509,30,230.030966
23.085379,30,231.2935
17.046446,20,232.151164
15.517558,22,233.077655
21.93279,30,234.363876
18.831258,27,235.501047
21.685344,30,236.754455
7.813007,11,237.21545
22.997544,30,238.487736
17.477936,23,239.45324
17.678888,24,240.475425
24.653554,30,241.74565
9.786882,15,242.386838
3.012688,4,242.565238
17.85289,24,243.594391
7.412156,9,243.986765
20.263877,27,245.129126
9.620221,14,245.718111
22.151997,30,246.984676
5.100046,8,247.33184
7.786887,11,247.798824
5.685948,8,248.154574
19.782522,29,249.355866
21.786888,30,250.614407
21.632474,30,251.878798
1.732711,3,252.016809
21.319289,30,253.284575
7.202051,11,253.75649
21.332438,30,255.005667
12.380135,17,255.724734
4.450349,7,256.031029
3.217558,5,256.274761
2.046796,3,256.425667
4.469286,7,256.724416
7.785722,11,257.184578
15.849721,22,258.105559
21.517521,30,259.385175
8.484985,12,259.903793
2.633333,4,260.091248
1.632711,3,260.23443
13.811181,18,261.108738
22.41776,30,262.614553
4.898713,7,262.9296
14.899332,21,263.855708
4.019552,6,264.126923
14.517248,21,265.04529
7.031492,9,265.444596
22.333035,30,266.71057
3.099453,5,266.935955
10.469329,13,267.509106
3.232131,5,267.737042
21.920135,30,270.646073
21.684137,30,271.965485
7.202663,11,272.450613
3.818972,6,272.717844
2.813158,4,272.903762
10.169321,15,273.544513
8.466402,13,274.117234
13.300045,20,275.035844
2.433333,4,275.224794
21.819054,30,276.466015
16.531822,23,277.53446
22.253554,30,278.854517
22.786608,30,280.139183
4.633074,7,280.45646
4.933068,7,280.824504
21.753554,30,282.115786
12.865152,18,282.923525
7.202663,11,283.409961
22.351696,30,284.744307
18.99948,26,285.894339
9.832747,15,286.579299
20.819559,30,287.905334
20.302355,30,289.145495
20.833684,30,290.438294
4.248537,6,290.704895
21.135103,30,291.997769
21.419869,30,293.319094
22.16898,30,294.625702
5.818668,8,294.983894
20.686887,30,296.245294
20.952622,30,297.53463
11.232908,15,298.185457
15.253555,23,299.221046
1.915775,3,299.367683
21.72022,30,300.708041
7.613951,10,301.227487
21.696235,30,302.593716
22.552033,30,303.918838
23.91776,30,305.253448
19.298153,27,306.420083
22.199151,30,307.684584
7.499522,11,308.157506
11.252266,17,308.894652
11.150265,16,309.585464
21.253503,30,310.856116
8.646452,12,311.395366
12.250846,16,312.093471
20.434209,30,313.375455
22.783025,30,314.666265
13.319604,20,315.523733
2.715153,4,315.708697
6.399143,9,316.12133
22.265728,30,317.574451
5.666317,7,317.892218
3.212171,4,318.077733
22.551692,30,319.385571
22.682022,30,320.704471
17.014861,23,321.826747
21.966318,30,323.165482
21.118669,30,324.511598
1.153,2,324.618435
13.452617,21,325.587027
21.583027,30,326.897471
20.898241,30,328.169376
22.553516,30,329.506723
17.784383,24,330.600087
7.512838,9,330.994437
4.685914,7,331.305372
2.75324,5,331.535979
22.919321,30,332.815758
8.452887,13,333.393828
21.385604,30,334.67536
22.451688,30,335.957027
5.133003,7,336.265618
3.020175,5,336.494901
10.769024,14,337.098887
14.16521,21,337.98646
15.377851,21,338.880951
2.319247,4,339.061841
